1	235	10	78	10	6	235	21	235	24.8	47	550	1.8K	20.7	47	0.39	1.9K	551.6	47	20	3.65	86	1.7K	4.5K	47	20	3.65	2100	1.6K	461.4	47	20	3.50	2.75	2.2K	1.1K	47	20	3.50	2.75	2.3K	17.7K	47	20	0.86	1015	2.4K	29.4K	47	20	3.50	2.75	2.5K
22	9.4K	25	3.1K	11	96	9.4K	336	9.4K	296.5	1.9K	1300	2.9M	108.6	1.9K	0.24	3M	2.1K	1.9K	35	2.90	146	2.7M	14.8K	1.9K	35	2.90	2850	2.6M	1.4K	1.9K	35	5.00	2.00	3.6M	3.2K	1.9K	35	5.00	2.00	3.7M	53.2K	1.9K	35	1.46	1540	3.9M	87.8K	1.9K	35	5.00	2.00	4M
23	10.1K	26	3.4K	11	102	10.1K	357	10.1K	332	2K	1350	3.2M	119.8	2K	0.23	3.4M	2.3K	2K	36	2.85	150	3.1M	16.1K	2K	36	2.85	2900	2.9M	1.5K	2K	36	5.10	1.95	4M	3.4K	2K	36	5.10	1.95	4.2M	57.5K	2K	36	1.50	1575	4.3M	94.9K	2K	36	5.10	1.95	4.5M
25	10.9K	27	3.6K	11	108	10.9K	378	10.9K	369.5	2.2K	1400	3.6M	129.7	2.2K	0.22	3.8M	2.4K	2.2K	37	2.80	154	3.4M	16.9K	2.2K	37	2.80	2950	3.2M	1.6K	2.2K	37	5.20	1.90	4.5M	3.6K	2.2K	37	5.20	1.90	4.7M	59.9K	2.2K	37	1.54	1610	4.9M	98.8K	2.2K	37	5.20	1.90	5M
26	11.5K	28	3.8K	11	114	11.5K	399	11.5K	409.5	2.3K	1450	4M	141.9	2.3K	0.21	4.2M	2.6K	2.3K	38	2.75	158	3.8M	18.2K	2.3K	38	2.75	3000	3.6M	1.7K	2.3K	38	5.30	1.85	5M	3.9K	2.3K	38	5.30	1.85	5.2M	64.3K	2.3K	38	1.58	1645	5.4M	106K	2.3K	38	5.30	1.85	5.6M
27	12.3K	29	4.1K	11	120	12.3K	420	12.3K	438.2	2.5K	1500	4.4M	150	2.5K	0.20	4.6M	2.7K	2.5K	39	2.70	162	4.2M	19K	2.5K	39	2.70	3050	4M	1.8K	2.5K	39	5.40	1.80	5.5M	4K	2.5K	39	5.40	1.80	5.7M	66.8K	2.5K	39	1.62	1680	6M	110K	2.5K	39	5.40	1.80	6.2M
29	13.1K	30	4.4K	11	126	13.1K	441	13.1K	496.1	2.6K	1550	4.6M	166	2.6K	0.19	4.9M	3K	2.6K	40	2.65	166	4.4M	20.4K	2.6K	40	2.65	3100	4.2M	1.9K	2.6K	40	5.50	1.75	5.8M	4.3K	2.6K	40	5.50	1.75	6M	71.3K	2.6K	40	1.66	1715	6.3M	117.4K	2.6K	40	5.50	1.75	6.5M
30	13.9K	31	4.6K	12	132	13.9K	462	13.9K	542.9	2.8K	1600	4.9M	179.6	2.8K	0.18	5.1M	3.2K	2.8K	41	2.60	170	4.6M	21.8K	2.8K	41	2.60	3150	4.4M	2K	2.8K	41	5.60	1.70	6.1M	4.5K	2.8K	41	5.60	1.70	6.3M	75.9K	2.8K	41	1.70	1750	6.6M	124.9K	2.8K	41	5.60	1.70	6.8M
32	14.6K	32	4.9K	12	138	14.6K	483	14.6K	607.8	2.9K	1650	5.1M	197.2	2.9K	0.17	5.3M	3.5K	2.9K	42	2.55	174	4.8M	23.3K	2.9K	42	2.55	3200	4.6M	2.2K	2.9K	42	5.70	1.65	6.4M	4.8K	2.9K	42	5.70	1.65	6.6M	80.5K	2.9K	42	1.74	1785	6.9M	132.4K	2.9K	42	5.70	1.65	7.1M
33	15.4K	33	5.1K	12	144	15.4K	504	15.4K	659.9	3.1K	1700	5.3M	212	3.1K	0.16	5.6M	3.7K	3.1K	43	2.50	178	5M	24.7K	3.1K	43	2.50	3250	4.8M	2.3K	3.1K	43	5.80	1.60	6.6M	5.1K	3.1K	43	5.80	1.60	6.9M	85.2K	3.1K	43	1.78	1820	7.2M	140K	3.1K	43	5.80	1.60	7.4M
35	16.3K	34	5.4K	12	150	16.3K	525	16.3K	732.1	3.3K	1750	5.5M	231.1	3.3K	0.15	5.8M	4K	3.3K	44	2.45	182	5.2M	26.3K	3.3K	44	2.45	3300	5M	2.4K	3.3K	44	5.90	1.55	6.9M	5.4K	3.3K	44	5.90	1.55	7.2M	90K	3.3K	44	1.82	1855	7.5M	147.7K	3.3K	44	5.90	1.55	7.7M
37	17.2K	35	5.7K	12	156	17.2K	546	17.2K	808.6	3.4K	1800	5.7M	251.2	3.4K	0.14	6M	4.3K	3.4K	45	2.40	186	5.5M	27.9K	3.4K	45	2.40	3350	5.2M	2.6K	3.4K	45	6.00	1.50	7.2M	5.7K	3.4K	45	6.00	1.50	7.5M	94.8K	3.4K	45	1.86	1890	7.8M	155.5K	3.4K	45	6.00	1.50	8M
39	18.1K	36	6K	12	162	18.1K	567	18.1K	908.1	3.6K	1850	6M	277.9	3.6K	0.13	6.3M	4.6K	3.6K	46	2.35	190	5.7M	30.2K	3.6K	46	2.35	3400	5.4M	2.8K	3.6K	46	6.10	1.45	7.5M	6.1K	3.6K	46	6.10	1.45	7.8M	101.8K	3.6K	46	1.90	1925	8.1M	166.9K	3.6K	46	6.10	1.45	8.4M
41	18.8K	37	6.3K	12	168	18.8K	588	18.8K	994.1	3.8K	1900	6.2M	299.9	3.8K	0.12	6.5M	5K	3.8K	47	2.30	194	5.9M	31.9K	3.8K	47	2.30	3450	5.6M	2.9K	3.8K	47	6.20	1.40	7.7M	6.4K	3.8K	47	6.20	1.40	8M	106.7K	3.8K	47	1.94	1960	8.4M	174.9K	3.8K	47	6.20	1.40	8.7M
43	19.8K	38	6.6K	12	174	19.8K	609	19.8K	1.1K	4K	1950	6.4M	319.8	4K	0.11	6.7M	5.2K	4K	48	2.25	198	6.1M	33.3K	4K	48	2.25	3500	5.8M	3K	4K	48	6.30	1.35	8M	6.6K	4K	48	6.30	1.35	8.3M	110.6K	4K	48	1.98	1995	8.7M	181.2K	4K	48	6.30	1.35	9M
45	31.1K	39	10.4K	12	180	31.1K	630	31.1K	1.2K	6.2K	2000	6.6M	340.5	6.2K	0.10	7M	5.5K	6.2K	49	2.20	202	6.3M	34.7K	6.2K	49	2.20	3550	6M	3.1K	6.2K	49	6.40	1.30	8.3M	6.9K	6.2K	49	6.40	1.30	8.6M	114.6K	6.2K	49	2.02	2030	9M	187.5K	6.2K	49	6.40	1.30	9.3M
48	32.6K	40	10.9K	12	186	32.6K	651	32.6K	1.3K	6.5K	2050	6.9M	366.8	6.5K	0.09	7.2M	5.8K	6.5K	50	2.15	206	6.5M	36.3K	6.5K	50	2.15	3600	6.2M	3.3K	6.5K	50	6.50	1.25	8.6M	7.1K	6.5K	50	6.50	1.25	8.9M	118.6K	6.5K	50	2.06	2065	9.3M	193.9K	6.5K	50	6.50	1.25	9.6M
50	33.6K	41	11.2K	12	192	33.6K	672	33.6K	1.4K	6.7K	2100	7.1M	389.1	6.7K	0.08	7.4M	6.1K	6.7K	51	2.10	210	6.7M	37.8K	6.7K	51	2.10	3650	6.4M	3.4K	6.7K	51	6.60	1.20	8.8M	7.4K	6.7K	51	6.60	1.20	9.2M	122.7K	6.7K	51	2.10	2100	9.6M	200.4K	6.7K	51	6.60	1.20	9.9M
53	35.2K	42	11.7K	12	198	35.2K	693	35.2K	1.5K	7K	-	-	417.4	7K	-	-	6.5K	7K	-	-	-	-	39.5K	7K	-	-	-	-	3.5K	7K	-	-	-	-	7.6K	7K	-	-	-	-	126.8K	7K	-	-	-	-	207K	7K	-	-	-	-
56	36.7K	43	12.2K	13	204	36.7K	714	36.7K	1.6K	7.3K	-	-	446.8	7.3K	-	-	6.8K	7.3K	-	-	-	-	41.2K	7.3K	-	-	-	-	3.6K	7.3K	-	-	-	-	7.9K	7.3K	-	-	-	-	130.9K	7.3K	-	-	-	-	213.6K	7.3K	-	-	-	-
59	38.3K	44	12.8K	13	210	38.3K	735	38.3K	1.7K	7.7K	-	-	481.2	7.7K	-	-	7.3K	7.7K	-	-	-	-	43.3K	7.7K	-	-	-	-	3.8K	7.7K	-	-	-	-	8.2K	7.7K	-	-	-	-	136.3K	7.7K	-	-	-	-	222.1K	7.7K	-	-	-	-
62	39.4K	45	13.1K	13	216	39.4K	756	39.4K	1.9K	7.9K	-	-	517.1	7.9K	-	-	7.7K	7.9K	-	-	-	-	45.5K	7.9K	-	-	-	-	4K	7.9K	-	-	-	-	8.6K	7.9K	-	-	-	-	141.7K	7.9K	-	-	-	-	230.6K	7.9K	-	-	-	-
65	41K	46	13.7K	13	222	41K	777	41K	2.1K	8.2K	-	-	554.5	8.2K	-	-	8.2K	8.2K	-	-	-	-	47.7K	8.2K	-	-	-	-	4.1K	8.2K	-	-	-	-	8.9K	8.2K	-	-	-	-	147.1K	8.2K	-	-	-	-	239.3K	8.2K	-	-	-	-
68	42.7K	47	14.2K	13	228	42.7K	798	42.7K	2.2K	8.5K	-	-	593.3	8.5K	-	-	8.6K	8.5K	-	-	-	-	50K	8.5K	-	-	-	-	4.3K	8.5K	-	-	-	-	9.2K	8.5K	-	-	-	-	152.6K	8.5K	-	-	-	-	248K	8.5K	-	-	-	-
72	44.4K	48	14.8K	13	234	44.4K	819	44.4K	2.4K	8.9K	-	-	644.8	8.9K	-	-	9.3K	8.9K	-	-	-	-	52.9K	8.9K	-	-	-	-	4.5K	8.9K	-	-	-	-	9.6K	8.9K	-	-	-	-	159.3K	8.9K	-	-	-	-	258.7K	8.9K	-	-	-	-
76	61.4K	49	20.5K	13	240	61.4K	840	61.4K	2.7K	12.3K	-	-	693.8	12.3K	-	-	9.8K	12.3K	-	-	-	-	55.5K	12.3K	-	-	-	-	4.7K	12.3K	-	-	-	-	10K	12.3K	-	-	-	-	165K	12.3K	-	-	-	-	267.6K	12.3K	-	-	-	-
80	63K	50	21K	13	246	63K	861	63K	2.9K	12.6K	-	-	749.8	12.6K	-	-	10.5K	12.6K	-	-	-	-	58.5K	12.6K	-	-	-	-	4.9K	12.6K	-	-	-	-	10.4K	12.6K	-	-	-	-	171.9K	12.6K	-	-	-	-	278.5K	12.6K	-	-	-	-
84	66.1K	51	22K	13	252	66.1K	882	66.1K	3.1K	13.2K	-	-	800.3	13.2K	-	-	11.1K	13.2K	-	-	-	-	61K	13.2K	-	-	-	-	5.1K	13.2K	-	-	-	-	10.8K	13.2K	-	-	-	-	177.1K	13.2K	-	-	-	-	286.7K	13.2K	-	-	-	-
89	69.4K	52	23.1K	13	258	69.4K	903	69.4K	3.4K	13.9K	-	-	857.3	13.9K	-	-	11.7K	13.9K	-	-	-	-	63.6K	13.9K	-	-	-	-	5.3K	13.9K	-	-	-	-	11.1K	13.9K	-	-	-	-	181.8K	13.9K	-	-	-	-	294K	13.9K	-	-	-	-
93	73.5K	53	24.5K	13	264	73.5K	924	73.5K	3.6K	14.7K	-	-	905.8	14.7K	-	-	12.2K	14.7K	-	-	-	-	65.9K	14.7K	-	-	-	-	5.4K	14.7K	-	-	-	-	11.3K	14.7K	-	-	-	-	185.9K	14.7K	-	-	-	-	300.3K	14.7K	-	-	-	-
98	76.9K	54	25.6K	13	270	76.9K	945	76.9K	3.9K	15.4K	-	-	966.4	15.4K	-	-	12.9K	15.4K	-	-	-	-	68.6K	15.4K	-	-	-	-	5.6K	15.4K	-	-	-	-	11.6K	15.4K	-	-	-	-	190.8K	15.4K	-	-	-	-	307.7K	15.4K	-	-	-	-
103	81.3K	55	27.1K	13	276	81.3K	966	81.3K	4.2K	16.3K	-	-	1K	16.3K	-	-	13.6K	16.3K	-	-	-	-	71.6K	16.3K	-	-	-	-	5.8K	16.3K	-	-	-	-	12K	16.3K	-	-	-	-	196.2K	16.3K	-	-	-	-	316.2K	16.3K	-	-	-	-
109	84.8K	56	28.3K	14	282	84.8K	987	84.8K	4.5K	17K	-	-	1.1K	17K	-	-	14.4K	17K	-	-	-	-	74.7K	17K	-	-	-	-	6K	17K	-	-	-	-	12.3K	17K	-	-	-	-	201.2K	17K	-	-	-	-	323.7K	17K	-	-	-	-
114	89.4K	57	29.8K	14	288	89.4K	1008	89.4K	4.8K	17.9K	-	-	1.2K	17.9K	-	-	15.2K	17.9K	-	-	-	-	77.8K	17.9K	-	-	-	-	6.2K	17.9K	-	-	-	-	12.7K	17.9K	-	-	-	-	206.7K	17.9K	-	-	-	-	332.3K	17.9K	-	-	-	-
120	94.1K	58	31.4K	14	294	94.1K	1029	94.1K	5.2K	18.8K	-	-	1.3K	18.8K	-	-	16.1K	18.8K	-	-	-	-	81.5K	18.8K	-	-	-	-	6.4K	18.8K	-	-	-	-	13.1K	18.8K	-	-	-	-	213K	18.8K	-	-	-	-	341.9K	18.8K	-	-	-	-
127	124.8K	59	41.6K	14	300	124.8K	1050	124.8K	5.7K	25K	-	-	1.4K	25K	-	-	17.2K	25K	-	-	-	-	85.6K	25K	-	-	-	-	6.6K	25K	-	-	-	-	13.5K	25K	-	-	-	-	219.4K	25K	-	-	-	-	351.7K	25K	-	-	-	-
133	131K	60	43.7K	14	306	131K	1071	131K	6.1K	26.2K	-	-	1.4K	26.2K	-	-	18.2K	26.2K	-	-	-	-	89.5K	26.2K	-	-	-	-	6.9K	26.2K	-	-	-	-	13.9K	26.2K	-	-	-	-	225.9K	26.2K	-	-	-	-	361.5K	26.2K	-	-	-	-
140	137.3K	61	45.8K	14	312	137.3K	1092	137.3K	6.6K	27.5K	-	-	1.6K	27.5K	-	-	19.3K	27.5K	-	-	-	-	93.8K	27.5K	-	-	-	-	7.1K	27.5K	-	-	-	-	14.4K	27.5K	-	-	-	-	232.4K	27.5K	-	-	-	-	371.4K	27.5K	-	-	-	-
148	145K	62	48.3K	14	318	145K	1113	145K	7.2K	29K	-	-	1.7K	29K	-	-	20.7K	29K	-	-	-	-	99K	29K	-	-	-	-	7.4K	29K	-	-	-	-	14.9K	29K	-	-	-	-	240.3K	29K	-	-	-	-	383.4K	29K	-	-	-	-
156	152.9K	63	51K	14	324	152.9K	1134	152.9K	7.8K	30.6K	-	-	1.8K	30.6K	-	-	22K	30.6K	-	-	-	-	104.1K	30.6K	-	-	-	-	7.7K	30.6K	-	-	-	-	15.4K	30.6K	-	-	-	-	247.7K	30.6K	-	-	-	-	394.5K	30.6K	-	-	-	-
164	161K	64	53.7K	14	330	161K	1155	161K	8.4K	32.2K	-	-	1.9K	32.2K	-	-	23.4K	32.2K	-	-	-	-	109.5K	32.2K	-	-	-	-	8K	32.2K	-	-	-	-	15.9K	32.2K	-	-	-	-	255.5K	32.2K	-	-	-	-	406.2K	32.2K	-	-	-	-
172	166.7K	65	55.6K	14	336	166.7K	1176	166.7K	8.9K	33.3K	-	-	2.1K	33.3K	-	-	24.7K	33.3K	-	-	-	-	113.9K	33.3K	-	-	-	-	8.3K	33.3K	-	-	-	-	16.3K	33.3K	-	-	-	-	260.8K	33.3K	-	-	-	-	414K	33.3K	-	-	-	-
182	173.7K	66	57.9K	14	342	173.7K	1197	173.7K	9.6K	34.7K	-	-	2.2K	34.7K	-	-	26.1K	34.7K	-	-	-	-	119.1K	34.7K	-	-	-	-	8.5K	34.7K	-	-	-	-	16.7K	34.7K	-	-	-	-	266.3K	34.7K	-	-	-	-	421.8K	34.7K	-	-	-	-
191	181K	67	60.3K	14	348	181K	1218	181K	10.3K	36.2K	-	-	2.3K	36.2K	-	-	27.6K	36.2K	-	-	-	-	124.1K	36.2K	-	-	-	-	8.8K	36.2K	-	-	-	-	17.1K	36.2K	-	-	-	-	272.1K	36.2K	-	-	-	-	430.2K	36.2K	-	-	-	-
201	188.3K	68	62.8K	14	354	188.3K	1239	188.3K	11K	37.7K	-	-	2.5K	37.7K	-	-	29.1K	37.7K	-	-	-	-	129.7K	37.7K	-	-	-	-	9.1K	37.7K	-	-	-	-	17.5K	37.7K	-	-	-	-	278K	37.7K	-	-	-	-	438.7K	37.7K	-	-	-	-
212	235K	69	78.3K	14	360	235K	1260	235K	11.8K	47K	-	-	2.7K	47K	-	-	30.9K	47K	-	-	-	-	135.8K	47K	-	-	-	-	9.4K	47K	-	-	-	-	18K	47K	-	-	-	-	284.4K	47K	-	-	-	-	447.8K	47K	-	-	-	-
223	246K	70	82K	15	366	246K	1281	246K	12.7K	49.2K	-	-	2.8K	49.2K	-	-	32.8K	49.2K	-	-	-	-	142.3K	49.2K	-	-	-	-	9.7K	49.2K	-	-	-	-	18.5K	49.2K	-	-	-	-	291.2K	49.2K	-	-	-	-	457.5K	49.2K	-	-	-	-
235	255.3K	71	85.1K	15	372	255.3K	1302	255.3K	13.7K	51.1K	-	-	3K	51.1K	-	-	34.8K	51.1K	-	-	-	-	149.3K	51.1K	-	-	-	-	10.1K	51.1K	-	-	-	-	19K	51.1K	-	-	-	-	298.1K	51.1K	-	-	-	-	467.2K	51.1K	-	-	-	-
247	266.7K	72	88.9K	15	378	266.7K	1323	266.7K	14.6K	53.3K	-	-	3.3K	53.3K	-	-	36.9K	53.3K	-	-	-	-	156.6K	53.3K	-	-	-	-	10.4K	53.3K	-	-	-	-	19.5K	53.3K	-	-	-	-	305.4K	53.3K	-	-	-	-	477.6K	53.3K	-	-	-	-
260	276.5K	73	92.2K	15	384	276.5K	1344	276.5K	15.8K	55.3K	-	-	3.5K	55.3K	-	-	39.2K	55.3K	-	-	-	-	164.7K	55.3K	-	-	-	-	10.8K	55.3K	-	-	-	-	20.1K	55.3K	-	-	-	-	313.2K	55.3K	-	-	-	-	488.7K	55.3K	-	-	-	-
274	288.3K	74	96.1K	15	390	288.3K	1365	288.3K	17K	57.7K	-	-	3.7K	57.7K	-	-	41.8K	57.7K	-	-	-	-	173.5K	57.7K	-	-	-	-	11.3K	57.7K	-	-	-	-	20.7K	57.7K	-	-	-	-	321.6K	57.7K	-	-	-	-	500.3K	57.7K	-	-	-	-
288	300.3K	75	100.1K	15	396	300.3K	1386	300.3K	18.3K	60.1K	-	-	4K	60.1K	-	-	44.5K	60.1K	-	-	-	-	182.8K	60.1K	-	-	-	-	11.7K	60.1K	-	-	-	-	21.4K	60.1K	-	-	-	-	330.3K	60.1K	-	-	-	-	512.7K	60.1K	-	-	-	-
303	312.6K	76	104.2K	15	402	312.6K	1407	312.6K	19.5K	62.5K	-	-	4.3K	62.5K	-	-	47.1K	62.5K	-	-	-	-	191.3K	62.5K	-	-	-	-	12.1K	62.5K	-	-	-	-	21.9K	62.5K	-	-	-	-	336.9K	62.5K	-	-	-	-	521.3K	62.5K	-	-	-	-
319	425.6K	77	141.9K	15	408	425.6K	1428	425.6K	20.6K	85.1K	-	-	4.5K	85.1K	-	-	49.3K	85.1K	-	-	-	-	198.1K	85.1K	-	-	-	-	12.4K	85.1K	-	-	-	-	22.2K	85.1K	-	-	-	-	339.6K	85.1K	-	-	-	-	524.1K	85.1K	-	-	-	-
336	437.2K	78	145.7K	15	414	437.2K	1449	437.2K	21.8K	87.4K	-	-	4.7K	87.4K	-	-	51.7K	87.4K	-	-	-	-	205.4K	87.4K	-	-	-	-	12.7K	87.4K	-	-	-	-	22.5K	87.4K	-	-	-	-	342.5K	87.4K	-	-	-	-	526.9K	87.4K	-	-	-	-
354	520.6K	79	173.5K	15	420	520.6K	1470	520.6K	23.1K	104.1K	-	-	5K	104.1K	-	-	54.2K	104.1K	-	-	-	-	213.1K	104.1K	-	-	-	-	13K	104.1K	-	-	-	-	22.8K	104.1K	-	-	-	-	345.5K	104.1K	-	-	-	-	529.7K	104.1K	-	-	-	-
372	531.2K	80	177.1K	15	426	531.2K	1491	531.2K	24.3K	106.2K	-	-	5.2K	106.2K	-	-	56.7K	106.2K	-	-	-	-	220.9K	106.2K	-	-	-	-	13.3K	106.2K	-	-	-	-	23.1K	106.2K	-	-	-	-	348.4K	106.2K	-	-	-	-	532.5K	106.2K	-	-	-	-
392	541.9K	81	180.6K	15	432	541.9K	1512	541.9K	25.7K	108.4K	-	-	5.5K	108.4K	-	-	59.5K	108.4K	-	-	-	-	229.5K	108.4K	-	-	-	-	13.6K	108.4K	-	-	-	-	23.4K	108.4K	-	-	-	-	351.5K	108.4K	-	-	-	-	535.4K	108.4K	-	-	-	-
412	556K	82	185.3K	15	438	556K	1533	556K	27.2K	111.2K	-	-	5.8K	111.2K	-	-	62.3K	111.2K	-	-	-	-	238.1K	111.2K	-	-	-	-	13.9K	111.2K	-	-	-	-	23.8K	111.2K	-	-	-	-	354.7K	111.2K	-	-	-	-	538.3K	111.2K	-	-	-	-
434	566.9K	83	189K	15	444	566.9K	1554	566.9K	28.7K	113.4K	-	-	6.1K	113.4K	-	-	65.4K	113.4K	-	-	-	-	247.6K	113.4K	-	-	-	-	14.3K	113.4K	-	-	-	-	24.1K	113.4K	-	-	-	-	357.9K	113.4K	-	-	-	-	541.2K	113.4K	-	-	-	-
457	577.9K	84	192.6K	15	450	577.9K	1575	577.9K	30.4K	115.6K	-	-	6.5K	115.6K	-	-	68.6K	115.6K	-	-	-	-	257.6K	115.6K	-	-	-	-	14.7K	115.6K	-	-	-	-	24.5K	115.6K	-	-	-	-	361.3K	115.6K	-	-	-	-	544.2K	115.6K	-	-	-	-
481	589K	85	196.3K	16	456	589K	1596	589K	32.1K	117.8K	-	-	6.8K	117.8K	-	-	72K	117.8K	-	-	-	-	268K	117.8K	-	-	-	-	15.1K	117.8K	-	-	-	-	24.9K	117.8K	-	-	-	-	364.8K	117.8K	-	-	-	-	547.2K	117.8K	-	-	-	-
506	603.7K	86	201.2K	16	462	603.7K	1617	603.7K	33.9K	120.7K	-	-	7.2K	120.7K	-	-	75.6K	120.7K	-	-	-	-	278.9K	120.7K	-	-	-	-	15.5K	120.7K	-	-	-	-	25.3K	120.7K	-	-	-	-	368.3K	120.7K	-	-	-	-	550.2K	120.7K	-	-	-	-
533	615K	87	205K	16	468	615K	1638	615K	35.9K	123K	-	-	7.6K	123K	-	-	79.4K	123K	-	-	-	-	290.6K	123K	-	-	-	-	15.9K	123K	-	-	-	-	25.8K	123K	-	-	-	-	372.1K	123K	-	-	-	-	553.3K	123K	-	-	-	-
